Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
feb;05-02-1997;;DoDonPachi;Sat (September 18), PS1 (1998), Arc;;
feb;09-02-1997;;James Bond 007;GB;Action-adventure;
feb;10-02-1997;;Mario Kart 64;N64, ;;
feb;11-02-1997;;Xenogears;PS1;Role-playing;
feb;24-02-1997;;Gex: Enter the Gecko;PS1;Platform;
feb;26-02-1997;;Burning Rangers;Sat;Action, third-person shooter;
feb;26-02-1997;;Tenchu: Stealth Assassins;PS1;Action-adventure, stealth;
feb;26-02-1997;;X-Men vs. Street Fighter: EX Edition;PS1;Fighting;
feb;27-02-1997;;The Lost Vikings 2;Win, SNES, PS1 (May), Sat (May), ;;
feb;28-02-1997;;1080° Snowboarding;N64;Racing;
feb;28-02-1997;;Battlezone;Win;First-person shooter, real-time strategy;
feb;28-02-1997;;ReBoot;PS1;Action;
feb;28-02-1997;;Star Wars: Rebellion;Win;Real-time strategy;
feb;28-02-1997;;Blast Corps;N64, ;;
feb;28-02-1997;;Independence Day;Win, PS1, Sat, ;;
feb;28-02-1997;;Mega Man 8;PS1, Sat, ;;
feb;28-02-1997;;Turok: Dinosaur Hunter;Win, N64, ;;
mar;09-03-1997;;Wario Land II;GB;Platform;
mar;19-03-1997;;Descent: FreeSpace – The Great War;Win;Space combat simulator;
mar;19-03-1997;;Real Bout Fatal Fury 2: The Newcomers;Arcade;Fighting;
mar;20-03-1997;;Castlevania: Symphony of the Night;PS1, Sat (1998), ;;
mar;20-03-1997;;Tekken 3;PS1 (1998), Arc;;
mar;25-03-1997;;Need for Speed III: Hot Pursuit;PS1;Racing;
mar;26-03-1997;;Dungeon Master Nexus;Sat;Role-playing;
mar;26-03-1997;;The House of the Dead;Sat;Rail shooter;
mar;26-03-1997;;The King of Fighters '97;Sat;Fighting;
mar;26-03-1997;;Tekken 3;PS1;Fighting;
mar;26-03-1997;;Vandal Hearts;PS1, Sat (November 27), ;;
mar;29-03-1997;;Parasite Eve;PS1;Action role-playing;
mar;30-03-1997;;The Last Express;Win, ;;
mar;31-03-1997;;Blasto;PS1;Third-person shooter;
mar;31-03-1997;;StarCraft;Win;Real-time strategy;
mar;31-03-1997;;Warhammer: Dark Omen;Win;Real-time tactics;
mar;31-03-1997;;World Cup 98;PS1;Sports (soccer);
mar;31-03-1997;;Need for Speed II;Win, PS1, ;;
apr;04-04-1997;;Sakura Wars 2: Thou Shalt Not Die;Sat;Tactical role-playing, dating sim, visual novel;
apr;07-04-1997;;Warhammer: Dark Omen;PS1;Real-time tactics;
apr;09-04-1997;;G-Darius;PS1;Shoot 'em up;
apr;14-04-1997;;GT 64: Championship Edition;N64;Racing;
apr;17-04-1997;;Puyo Puyo Sun;Win;Puzzle;
apr;27-04-1997;;Dungeon Keeper;Win, ;;
apr;29-04-1997;;Real Bout Fatal Fury 2: The Newcomers;Neo;Fighting;
apr;29-04-1997;;Shining Force III Scenario 2 – Target: Child of God;Sat;Tactical role-playing;
apr;29-04-1997;;Super Tempo;Sat;Platform;
apr;30-04-1997;;Bomberman Hero;N64;Platform;
apr;30-04-1997;;Might and Magic VI: The Mandate of Heaven;Win;Role-playing;
apr;30-04-1997;;World Cup 98;Win;Sports (soccer);
apr;30-04-1997;;Fighters Megamix;Sat, Game.com (1998), ;;
apr;30-04-1997;;Star Wars: X-Wing vs. TIE Fighter;Win, ;;
maj;07-05-1997;;Jazz Jackrabbit 2;Win;Platform;
maj;13-05-1997;;Shadow Warrior;Win, ;;
maj;18-05-1997;;World Cup 98;N64;Sports (soccer);
maj;21-05-1997;;Baroque;Sat;Role-playing;
maj;22-05-1997;;Unreal;Win;First-person shooter;
maj;28-05-1997;;Radiant Silvergun;Arcade;Shoot 'em up;
maj;28-05-1997;;The King of Fighters '97;PS1;Fighting;
maj;31-05-1997;;Blood;Win, ;;
maj;31-05-1997;;MDK;Win, PS1 (1998), ;;
jun;01-06-1997;;Harvest Moon;SNES, ;;
jun;04-06-1997;;Atelier Marie Plus;PS1;Role-playing;
jun;04-06-1997;;International Superstar Soccer 98;N64;Sports (soccer);
jun;04-06-1997;;Vigilante 8;PS1;Vehicular combat;
jun;11-06-1997;;Super Gem Fighter Mini Mix;PS1;Fighting;
jun;12-06-1997;;Wetrix;N64;Puzzle;
jun;20-06-1997;;Sonic Jam;Sat, Game.com (1998), ;;
jun;20-06-1997;;Final Fantasy Tactics (Japan);PS1, ;;
jun;24-06-1997;;Commandos: Behind Enemy Lines;Win;Real-time tactics;
jun;25-06-1997;;Castlevania: Symphony of the Night;Sat;Action-adventure;
jun;29-06-1997;;Banjo-Kazooie;N64;Platform;
jun;30-06-1997;;Deep Fear;Sat;Survival horror;
jun;30-06-1997;;N2O: Nitrous Oxide;PS1;Shoot 'em up;
jun;30-06-1997;;Star Fox 64;N64, ;;
jul;04-07-1997;;Heart of Darkness;PS1;Platform;
jul;04-07-1997;;Jane's 688(I) Hunter/Killer;Win, ;;
jul;09-07-1997;;FIFA 99;PS1;Sports (soccer);
jul;09-07-1997;;Super Gem Fighter Mini Mix;Sat;Fighting;
jul;14-07-1997;;F-Zero X;N64;Racing;
jul;14-07-1997;;WWF War Zone;PS1;Sports (professional wrestling);
jul;16-07-1997;;Brave Fencer Musashi;PS1;Action role-playing;
jul;16-07-1997;;Hopkins FBI;Win;Adventure;
jul;23-07-1997;;Radiant Silvergun;Sat;Shoot 'em up;
jul;23-07-1997;;Real Bout Fatal Fury 2: The Newcomers;NeoCD;Fighting;
jul;28-07-1997;;The King of Fighters '97;Neo, NeoCD, PS1, Sat (1998), Arc;;
jul;30-07-1997;;Star Ocean: The Second Story;PS1;Action role-playing;
jul;30-07-1997;;Carmageddon;Win, PS1 (1999), N64 (2000), GBC (2000), ;;
jul;31-07-1997;;F-1 World Grand Prix;N64;Racing;
jul;31-07-1997;;Heart of Darkness;Win;Platform;
jul;31-07-1997;;Iggy's Reckin' Balls;N64;Racing;
jul;31-07-1997;;Herc's Adventures;PS1, Sat, ;;
jul;31-07-1997;;Warlords III: Reign of Heroes;Win, ;;
aug;01-08-1997;;Gex: Enter the Gecko;N64;Platform;
aug;01-08-1997;;Pokémon Stadium;N64;Role-playing;
aug;01-08-1997;;Mega Man X4;Win (1999), PS1, Sat, ;;
aug;06-08-1997;;Resident Evil: Director's Cut – Dual Shock Version;PS1;Survival horror;
aug;06-08-1997;;Wachenröder;Sat;Tactical role-playing;
aug;11-08-1997;;WWF War Zone;N64;Sports (professional wrestling);
aug;11-08-1997;;Tetrisphere;N64, ;;
aug;21-08-1997;;Tom Clancy's Rainbow Six;Win;Tactical shooter;
aug;25-08-1997;;GoldenEye 007;N64, ;;
aug;27-08-1997;;Black/Matrix;Sat;Tactical role-playing;
aug;31-08-1997;;Hexen II;Win, ;;
aug;31-08-1997;;Imperialism;Win, ;;
sep;03-09-1997;;Metal Gear Solid;PS1;Action-adventure, stealth;
sep;09-09-1997;;NASCAR 99;N64;Racing;
sep;09-09-1997;;NFL Blitz;N64;Sports (football);
sep;10-09-1997;;NFL Blitz;PS1;Sports (football);
sep;10-09-1997;;Spyro the Dragon;PS1;Platform;
sep;10-09-1997;;Silhouette Mirage;Sat, PS1 (1998), ;;
sep;11-09-1997;;Breath of Fire III;PS1, ;;
sep;12-09-1997;;Pokémon Yellow;GB;Role-playing;
sep;17-09-1997;;Suikoden;Sat;Role-playing;
sep;18-09-1997;;Street Fighter Collection;Sat, PS1 (October 23), ;;
sep;19-09-1997;;Oddworld: Abe's Oddysee;Win, PS1, ;;
sep;23-09-1997;;Digital Monster Version S: Digimon Tamers;Sat;Virtual pet;
sep;23-09-1997;;Madden NFL 99;N64;Sports (football);
sep;23-09-1997;;Shining Force III Scenario 3 – Bulzome Rising;Sat;Tactical role-playing;
sep;24-09-1997;;Ultima Online;Win, ;;
sep;25-09-1997;;Dragon Warrior Monsters;GBC;Role-playing;
sep;26-09-1997;;Dance Dance Revolution;Arcade;Music;
sep;29-09-1997;;Croc: Legend of the Gobbos;PS1, Sat, ;;
sep;30-09-1997;;Body Harvest;N64;Action-adventure;
sep;30-09-1997;;Caesar III;Win;City-building;
sep;30-09-1997;;Delta Force;Win;Tactical shooter;
sep;30-09-1997;;Gex: Enter the Gecko;Win;Platform;
sep;30-09-1997;;NHL 99;PS1, Win;Sports (ice hockey);
sep;30-09-1997;;Rogue Trip: Vacation 2012;PS1;Vehicular combat;
sep;30-09-1997;;Shogo: Mobile Armor Division;Win;First-person shooter;
sep;30-09-1997;;Close Combat: A Bridge Too Far;Win, ;;
sep;30-09-1997;;Fallout;Win, ;;
sep;30-09-1997;;Panzer General II;Win, ;;
sep;30-09-1997;;Poy Poy;PS1, ;;
sep;30-09-1997;;Total Annihilation;Win, ;;
okt;01-10-1997;;MediEvil;PS1;Action-adventure;
okt;01-10-1997;;NHL 99;N64;Sports (ice hockey);
okt;01-10-1997;;Grand Theft Auto;Win, GBC (2000), ;;
okt;02-10-1997;;NFL Blitz;Win;Sports (football);
okt;09-10-1997;;Star Wars Jedi Knight: Dark Forces II;Win, ;;
okt;12-10-1997;;Need for Speed III: Hot Pursuit;Win;Racing;
okt;15-10-1997;;Age of Empires;Win, ;;
okt;15-10-1997;;Mortal Kombat 4;1998, N64, PS1 (1998), GBC (1998), Arc;;
okt;21-10-1997;;Turok 2: Seeds of Evil;N64;First-person shooter;
okt;21-10-1997;;Tetris DX;GBC;Puzzle;
okt;21-10-1997;;Wario Land II;GBC;Platform;
okt;22-10-1997;;Marvel Super Heroes vs. Street Fighter;Sat;Fighting;
okt;23-10-1997;;Steep Slope Sliders;Sat, Arc (1998);;
okt;28-10-1997;;Grim Fandango;Win;Adventure;
okt;28-10-1997;;Shipwreckers;Win, PS1, ;;
okt;29-10-1997;;Fallout 2;Win;Role-playing;
okt;29-10-1997;;Riven;Win, Sat, PS1 (November 30), ;;
okt;30-10-1997;;Culdcept;Sat, PS1 (1999), ;;
okt;31-10-1997;;Age of Empires: The Rise of Rome;Win;Real-time strategy;
okt;31-10-1997;;Apocalypse;PS1;Third-person shooter;
okt;31-10-1997;;Centipede;Win;Shoot 'em up;
okt;31-10-1997;;Crash Bandicoot: Warped;PS1;Platform;
okt;31-10-1997;;FIFA 99;Win;Sports (soccer);
okt;31-10-1997;;Glover;N64, Win;Platform;
okt;31-10-1997;;Heretic II;Win;Action-adventure;
okt;31-10-1997;;NBA Live 99;PS1, Win;Sports (basketball);
okt;31-10-1997;;Oddworld: Abe's Exoddus;PS1, Win;Platform;
okt;31-10-1997;;Railroad Tycoon II;Win;Business simulation;
okt;31-10-1997;;Blade Runner;Win, ;;
okt;31-10-1997;;Colony Wars;PS1, ;;
okt;31-10-1997;;The Curse of Monkey Island;Win, ;;
okt;31-10-1997;;PaRappa the Rapper;PS1, ;;
okt;31-10-1997;;Zork: Grand Inquisitor;Win, ;;
nov;01-11-1997;;Red Comrades Save the Galaxy;Win;Adventure;
nov;01-11-1997;;Independence War;Win, ;;
nov;01-11-1997;;Crash Bandicoot 2: Cortex Strikes Back;PS1, ;;
nov;01-11-1997;;Shock Troopers;Neo, Arc;;
nov;04-11-1997;;NBA Live 99;N64;Sports (basketball);
nov;09-11-1997;;SiN;Win;First-person shooter;
nov;10-11-1997;;Rush 2: Extreme Racing USA;N64;Racing;
nov;11-11-1997;;Sonic R;Win;Racing;
nov;17-11-1997;;Sonic R;Win (1998), Sat, ;;
nov;18-11-1997;;Tomb Raider II;Win, PS1, ;;
nov;19-11-1997;;Half-Life;Win;First-person shooter;
nov;20-11-1997;;The Settlers III;Win;Real-time strategy, city-building;
nov;20-11-1997;;Tomb Raider III;PS1, Win;Action-adventure;
nov;21-11-1997;;The Legend of Zelda: Ocarina of Time;N64;Action-adventure;
nov;21-11-1997;;Diddy Kong Racing;N64, ;;
nov;21-11-1997;;Worms 2;Win, ;;
nov;25-11-1997;;Blood II: The Chosen;Win;First-person shooter;
nov;25-11-1997;;Myth: The Fallen Lords;Win, ;;
nov;27-11-1997;;Puyo Puyo Sun;GBC;Puzzle;
nov;27-11-1997;;Kirby's Dream Land 3;SNES, ;;
nov;30-11-1997;;Bomberman 64;N64, ;;
nov;30-11-1997;;One;PS1, ;;
nov;30-11-1997;;Wing Commander: Prophecy;Win, ;;
nov;30-11-1997;;WCW vs. nWo: World Tour;N64, ;;
dec;01-12-1997;;Gex: Enter the Gecko;GBC;Platform;
dec;01-12-1997;;Thief: The Dark Project;Win;Stealth;
